FID;Kod_region;Region;Kod_distri;District;Kod_munici;Municipal;Kod_part_o;Part_ofmun;Kod_local;Local_part;Day;Month;Year;Time fire H;Alarm_leve;Type_of_bu;x;y;Surface;Ownership;Initiator;Popis;slope;elevation;aspect;dist_road;distanc_ri;relativ_hu;Code_lanco;pop_densit;temperatur;wind_speed;Risk_AHP;Risk_fu_AH
0;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;3;3;2011;14.13472222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-731664;-1042130;1; ;dále nedošetřovaný iniciátor; ;0.994155;251.399994;242.276001;0;775.625977;82.3619;121;2556.550049;4.84318018;3.464979887;4;3
2;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;30;5;2011;13.6775;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-740199;-1044452;0; ;dále nedošetřovaný iniciátor; ;2.63557;279.990997;30.2616;0;1017.400024;82.170403;111;2556.550049;14.43809986;2.899610043;5;4
5;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;22;7;2011;15.69805556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-740675;-1040308;0; ;dále nedošetřovaný iniciátor; ;1.15118;182.009995;188.529999;0;270.886993;82.057404;112;2556.550049;19.80929947;2.5;4;3
6;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;20;8;2011;16.59777778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743985;-1054276;0; ;dále nedošetřovaný iniciátor; ;0.829629;308.169006;89.783401;0;1579.040039;83.392899;142;2556.550049;18.19540024;2.437400103;5;5
10;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;18;5;2015;16.23222222;I.;les vysokokmenný - smíšený (622);-743473;-1037143;1;soukromé a osobní vlastnictví;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;7.91845;258.98999;313.786987;0;606.570984;82.161003;313;1200.839966;14.26889992;2.850650072;5;5
11;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;3;6;2015;18.35944444;II.;les vysokokmenný - smíšený (622);-743362;-1037325;2;nezjištěno nebo jiný druh. nelze specifikovat;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;8.47648;257.980011;188.936996;0;717.570984;82.158699;313;1331.640015;17.07329941;2.685669899;5;5
12;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;20;7;2006;16.88611111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742475;-1037599;1;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;3.78524;265.987;213.240997;0;1346.280029;82.118301;141;2039.079956;18.67350006;2.695470095;5;4
16;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;0; ;23;4;2011;22.64055556;I.;les výmladkový(pařezina. lesní porost nízký. kosodřevina) (624);-741814;-1041009;0;obecní majetek;výrobky pro zábavnou civilní pyrotechniku /prskavky.světlice.;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.15816;192.442001;142.828995;0;0;82.132004;121;2556.550049;9.610039711;3;5;4
17;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500178;Praha 6;17;3;2010;12.2975;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743246;-1040716;0; ;dále nedošetřovaný iniciátor; ;1.77632;186.354004;347.84201;0;38.8871;82.2108;121;2556.550049;5.447219849;3.265990019;5;4
18;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500178;Praha 6;23;4;2011;11.50722222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743564;-1040931;0; ;dále nedošetřovaný iniciátor; ;4.42926;200.613007;44.088001;0;196.067001;82.233002;141;2556.550049;9.516599655;3.090909958;5;4
